x,y,tau,temperature,is_post_switch
0.625,1,2.5,0.01923867155247628,0
0.6875,1,2.5,0.01763544892310326,0
0.75,1,2.5,0.01539093724198103,0
0.8125,1,2.5,0.01250513650910958,0
0.875,1,2.5,0.008978046724488931,0
0.9375,1,2.5,0.004809667888119071,0
1,1,2.5,0,0
0,0,5,0,0
0.0625,0,5,0.0003948015819776641,0
0.125,0,5,0.0007369629530249729,0
0.1875,0,5,0.001026484113141927,0
0.25,0,5,0.001263365062328525,0
0.3125,0,5,0.001447605800584768,0
0.375,0,5,0.001579206327910656,0
0.4375,0,5,0.001658166644306189,0
0.5,0,5,0.001684486749771367,0
0.5625,0,5,0.001658166644306189,0
0.625,0,5,0.001579206327910656,0
0.6875,0,5,0.001447605800584768,0
0.75,0,5,0.001263365062328525,0
0.8125,0,5,0.001026484113141927,0
0.875,0,5,0.0007369629530249729,0
0.9375,0,5,0.0003948015819776641,0
1,0,5,0,0
0,0.0625,5,0.0003948015819776641,0
0.0625,0.0625,5,0.01044470487235836,0
0.125,0.0625,5,0.0143116225760348,0
0.1875,0.0625,5,0.01551209380232252,0
0.25,0.0625,5,0.01557340737584579,0
0.3125,0.0625,5,0.01521732414122635,0
0.375,0.0625,5,0.0147998232062077,0
0.4375,0.0625,5,0.01449654690118631,0
0.5,0.0625,5,0.01438776246805895,0
0.5625,0.0625,5,0.01449654690118632,0
0.625,0.0625,5,0.01479982320620776,0
0.6875,0.0625,5,0.0152173241412263,0
0.75,0.0625,5,0.01557340737584576,0
0.8125,0.0625,5,0.01551209380232252,0
0.875,0.0625,5,0.01431162257603482,0
0.9375,0.0625,5,0.01044470487235838,0
1,0.0625,5,0.0003948015819776641,0
0,0.125,5,0.0007369629530249729,0
0.0625,0.125,5,0.01431162257603481,0
0.125,0.125,5,0.01986427789250399,0
0.1875,0.125,5,0.02143077305933134,0
0.25,0.125,5,0.02118694839082362,0
0.3125,0.125,5,0.02029301413980118,0
0.375,0.125,5,0.01936130739359133,0
0.4375,0.125,5,0.01870581246472577,0
